127.0.0.1 - - [29/Sep/2024:18:08:44 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [29/Sep/2024:18:08:49 +0530] "GET /eDhanvantari/ HTTP/1.1" 200 7473
0:0:0:0:0:0:0:1 - - [29/Sep/2024:18:10:11 +0530] "GET /eDhanvantari/images/Clinic_Logo_30.jpeg HTTP/1.1" 200 60119
0:0:0:0:0:0:0:1 - - [29/Sep/2024:18:10:11 +0530] "POST /eDhanvantari/Login HTTP/1.1" 200 485004
0:0:0:0:0:0:0:1 - - [29/Sep/2024:18:10:12 +0530] "GET /eDhanvantari/build/css/images/ui-bg_flat_75_ffffff_40x100.png HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [29/Sep/2024:18:10:12 +0530] "GET /eDhanvantari/GetClinicStartEndTime HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [29/Sep/2024:18:10:12 +0530] "GET /eDhanvantari/GetClinicBreak1Time HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [29/Sep/2024:18:10:12 +0530] "GET /eDhanvantari/GetClinicBreak2Time HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [29/Sep/2024:18:10:12 +0530] "GET /eDhanvantari/GetDaysOtherThanClinicWorkingDays HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [29/Sep/2024:18:10:27 +0530] "GET /eDhanvantari/ViewPatient HTTP/1.1" 200 43018
0:0:0:0:0:0:0:1 - - [29/Sep/2024:18:10:27 +0530] "GET /eDhanvantari/images/Clinic_Logo_30.jpeg HTTP/1.1" 200 60119
0:0:0:0:0:0:0:1 - - [29/Sep/2024:18:10:27 +0530] "GET /eDhanvantari/vendors/pdfmake/build/pdfmake.min.js HTTP/1.1" 404 816
0:0:0:0:0:0:0:1 - - [29/Sep/2024:18:10:27 +0530] "GET /eDhanvantari/vendors/jszip/dist/jszip.min.js HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [29/Sep/2024:18:10:27 +0530] "GET /eDhanvantari/vendors/pdfmake/build/vfs_fonts.js HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [29/Sep/2024:18:10:37 +0530] "POST /eDhanvantari/SearchViewPatient HTTP/1.1" 200 45352
0:0:0:0:0:0:0:1 - - [29/Sep/2024:18:10:37 +0530] "GET /eDhanvantari/images/Clinic_Logo_30.jpeg HTTP/1.1" 200 60119
0:0:0:0:0:0:0:1 - - [29/Sep/2024:18:10:37 +0530] "GET /eDhanvantari/vendors/jszip/dist/jszip.min.js HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [29/Sep/2024:18:10:37 +0530] "GET /eDhanvantari/vendors/pdfmake/build/vfs_fonts.js HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [29/Sep/2024:18:10:37 +0530] "GET /eDhanvantari/vendors/pdfmake/build/pdfmake.min.js HTTP/1.1" 404 816
0:0:0:0:0:0:0:1 - - [29/Sep/2024:18:10:49 +0530] "GET /eDhanvantari/images/Clinic_Logo_30.jpeg HTTP/1.1" 200 60119
0:0:0:0:0:0:0:1 - - [29/Sep/2024:18:10:49 +0530] "GET /eDhanvantari/RenderViewVisit.action?patientID=9572 HTTP/1.1" 200 134613
0:0:0:0:0:0:0:1 - - [29/Sep/2024:18:10:49 +0530] "GET /eDhanvantari/vendors/jszip/dist/jszip.min.js HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [29/Sep/2024:18:10:49 +0530] "GET /eDhanvantari/vendors/pdfmake/build/pdfmake.min.js HTTP/1.1" 404 816
0:0:0:0:0:0:0:1 - - [29/Sep/2024:18:10:49 +0530] "GET /eDhanvantari/vendors/pdfmake/build/vfs_fonts.js HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [29/Sep/2024:18:10:56 +0530] "GET /eDhanvantari/struts/dojo/struts_dojo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2024:18:10:56 +0530] "GET /eDhanvantari/struts/utils.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2024:18:10:56 +0530] "GET /eDhanvantari/struts/xhtml/validation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2024:18:10:56 +0530] "GET /eDhanvantari/struts/css_xhtml/validation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2024:18:10:56 +0530] "GET /eDhanvantari/struts/ajax/dojoRequire.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2024:18:10:56 +0530] "GET /eDhanvantari/struts/xhtml/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2024:18:10:57 +0530] "GET /eDhanvantari/images/Clinic_Logo_30.jpeg HTTP/1.1" 200 60119
0:0:0:0:0:0:0:1 - - [29/Sep/2024:18:13:49 +0530] "GET /eDhanvantari/RenderEditExistingVisit.action?visitID=11196&visitTypeID=86 HTTP/1.1" 200 511286
0:0:0:0:0:0:0:1 - - [29/Sep/2024:18:13:49 +0530] "GET /eDhanvantari/images/Clinic_Logo_30.jpeg HTTP/1.1" 304 -
