127.0.0.1 - - [13/Sep/2024:09:58:36 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:58:38 +0530] "GET /eDhanvantari/ HTTP/1.1" 200 7473
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:59:05 +0530] "POST /eDhanvantari/Login HTTP/1.1" 200 237557
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:59:05 +0530] "GET /eDhanvantari/images/Clinic_Logo_30.jpeg HTTP/1.1" 200 60119
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:59:05 +0530] "GET /eDhanvantari/build/css/images/ui-bg_flat_75_ffffff_40x100.png HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:59:05 +0530] "GET /eDhanvantari/GetClinicStartEndTime HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:59:05 +0530] "GET /eDhanvantari/GetClinicBreak1Time HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:59:05 +0530] "GET /eDhanvantari/GetClinicBreak2Time HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:59:05 +0530] "GET /eDhanvantari/GetDaysOtherThanClinicWorkingDays HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:59:32 +0530] "GET /eDhanvantari/UpdateCalendarFilter?careType=PathologyLab&cliniciaID=0 HTTP/1.1" 200 230431
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:59:32 +0530] "GET /eDhanvantari/images/Clinic_Logo_30.jpeg HTTP/1.1" 200 60119
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:59:32 +0530] "GET /eDhanvantari/GetClinicStartEndTime HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:59:32 +0530] "GET /eDhanvantari/GetClinicBreak1Time HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:59:32 +0530] "GET /eDhanvantari/GetClinicBreak2Time HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:59:32 +0530] "GET /eDhanvantari/GetDaysOtherThanClinicWorkingDays HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:59:35 +0530] "GET /eDhanvantari/images/Clinic_Logo_30.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:59:36 +0530] "GET /eDhanvantari/Welcome?monthCount=-1 HTTP/1.1" 200 244340
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:59:36 +0530] "GET /eDhanvantari/GetClinicStartEndTime HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:59:36 +0530] "GET /eDhanvantari/GetClinicBreak1Time HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:59:36 +0530] "GET /eDhanvantari/GetClinicBreak2Time HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:59:36 +0530] "GET /eDhanvantari/GetDaysOtherThanClinicWorkingDays HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:59:43 +0530] "GET /eDhanvantari/UpdateCalendarFilter?careType=CTScan&cliniciaID=0 HTTP/1.1" 200 230431
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:59:43 +0530] "GET /eDhanvantari/images/Clinic_Logo_30.jpeg HTTP/1.1" 200 60119
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:59:43 +0530] "GET /eDhanvantari/GetClinicStartEndTime HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:59:43 +0530] "GET /eDhanvantari/GetClinicBreak1Time HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:59:43 +0530] "GET /eDhanvantari/GetClinicBreak2Time HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:59:43 +0530] "GET /eDhanvantari/GetDaysOtherThanClinicWorkingDays HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:59:47 +0530] "GET /eDhanvantari/Welcome?monthCount=1 HTTP/1.1" 200 233248
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:59:47 +0530] "GET /eDhanvantari/images/Clinic_Logo_30.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:59:47 +0530] "GET /eDhanvantari/GetClinicStartEndTime HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:59:47 +0530] "GET /eDhanvantari/GetClinicBreak1Time HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:59:47 +0530] "GET /eDhanvantari/GetClinicBreak2Time HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:59:47 +0530] "GET /eDhanvantari/GetDaysOtherThanClinicWorkingDays HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:59:49 +0530] "GET /eDhanvantari/Welcome?monthCount=0 HTTP/1.1" 200 237558
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:59:49 +0530] "GET /eDhanvantari/images/Clinic_Logo_30.jpeg HTTP/1.1" 200 60119
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:59:49 +0530] "GET /eDhanvantari/GetClinicStartEndTime HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:59:49 +0530] "GET /eDhanvantari/GetClinicBreak1Time HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:59:49 +0530] "GET /eDhanvantari/GetClinicBreak2Time HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:59:49 +0530] "GET /eDhanvantari/GetDaysOtherThanClinicWorkingDays HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:59:56 +0530] "GET /eDhanvantari/UpdateCalendarFilter?careType=CTScan&cliniciaID=0 HTTP/1.1" 200 230431
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:59:56 +0530] "GET /eDhanvantari/images/Clinic_Logo_30.jpeg HTTP/1.1" 200 60119
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:59:56 +0530] "GET /eDhanvantari/GetClinicStartEndTime HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:59:56 +0530] "GET /eDhanvantari/GetClinicBreak1Time HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:59:56 +0530] "GET /eDhanvantari/GetClinicBreak2Time HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:59:56 +0530] "GET /eDhanvantari/GetDaysOtherThanClinicWorkingDays HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:59:58 +0530] "GET /eDhanvantari/images/Clinic_Logo_30.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:59:58 +0530] "GET /eDhanvantari/Welcome?monthCount=-1 HTTP/1.1" 200 244340
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:59:58 +0530] "GET /eDhanvantari/GetClinicStartEndTime HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:59:58 +0530] "GET /eDhanvantari/GetClinicBreak1Time HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:59:58 +0530] "GET /eDhanvantari/GetClinicBreak2Time HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [13/Sep/2024:09:59:58 +0530] "GET /eDhanvantari/GetDaysOtherThanClinicWorkingDays HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:00:12 +0530] "GET /eDhanvantari/UpdateCalendarFilter?careType=USG&cliniciaID=0 HTTP/1.1" 200 230431
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:00:12 +0530] "GET /eDhanvantari/images/Clinic_Logo_30.jpeg HTTP/1.1" 200 60119
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:00:12 +0530] "GET /eDhanvantari/GetClinicStartEndTime HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:00:12 +0530] "GET /eDhanvantari/GetClinicBreak1Time HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:00:12 +0530] "GET /eDhanvantari/GetClinicBreak2Time HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:00:12 +0530] "GET /eDhanvantari/GetDaysOtherThanClinicWorkingDays HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:00:22 +0530] "GET /eDhanvantari/Welcome?monthCount=-1 HTTP/1.1" 200 244340
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:00:22 +0530] "GET /eDhanvantari/images/Clinic_Logo_30.jpeg HTTP/1.1" 200 60119
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:00:22 +0530] "GET /eDhanvantari/GetClinicStartEndTime HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:00:22 +0530] "GET /eDhanvantari/GetClinicBreak1Time HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:00:22 +0530] "GET /eDhanvantari/GetClinicBreak2Time HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:00:22 +0530] "GET /eDhanvantari/GetDaysOtherThanClinicWorkingDays HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:00:24 +0530] "GET /eDhanvantari/VerifyVisitExistsForAppointment?patientID=8284&aptID=2401 HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:00:27 +0530] "GET /eDhanvantari/struts/dojo/struts_dojo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:00:27 +0530] "GET /eDhanvantari/struts/ajax/dojoRequire.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:00:27 +0530] "GET /eDhanvantari/struts/xhtml/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:00:27 +0530] "GET /eDhanvantari/struts/utils.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:00:27 +0530] "GET /eDhanvantari/struts/xhtml/validation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:00:28 +0530] "GET /eDhanvantari/struts/css_xhtml/validation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:00:28 +0530] "GET /eDhanvantari/images/Clinic_Logo_30.jpeg HTTP/1.1" 200 60119
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:00:29 +0530] "GET /eDhanvantari/RenderEditExistingVisit?visitID=10299&visitTypeID=56 HTTP/1.1" 200 314786
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:00:29 +0530] "GET /eDhanvantari/struts/dojo/src/widget/templates/images/combo_box_arrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:00:54 +0530] "POST /eDhanvantari/ChangeClinic HTTP/1.1" 200 218745
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:00:54 +0530] "GET /eDhanvantari/images/Clinic_Logo_31.jpeg HTTP/1.1" 200 60119
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:00:54 +0530] "GET /eDhanvantari/GetClinicStartEndTime HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:00:54 +0530] "GET /eDhanvantari/GetClinicBreak1Time HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:00:54 +0530] "GET /eDhanvantari/GetClinicBreak2Time HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:00:54 +0530] "GET /eDhanvantari/GetDaysOtherThanClinicWorkingDays HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:00:58 +0530] "GET /eDhanvantari/UpdateCalendarFilter?careType=CTScan&cliniciaID=0 HTTP/1.1" 200 213814
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:00:58 +0530] "GET /eDhanvantari/images/Clinic_Logo_31.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:00:58 +0530] "GET /eDhanvantari/GetClinicStartEndTime HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:00:58 +0530] "GET /eDhanvantari/GetClinicBreak1Time HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:00:58 +0530] "GET /eDhanvantari/GetClinicBreak2Time HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:00:58 +0530] "GET /eDhanvantari/GetDaysOtherThanClinicWorkingDays HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:01:00 +0530] "GET /eDhanvantari/Welcome?monthCount=-1 HTTP/1.1" 200 213795
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:01:00 +0530] "GET /eDhanvantari/images/Clinic_Logo_31.jpeg HTTP/1.1" 200 60119
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:01:00 +0530] "GET /eDhanvantari/GetClinicStartEndTime HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:01:00 +0530] "GET /eDhanvantari/GetClinicBreak1Time HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:01:00 +0530] "GET /eDhanvantari/GetClinicBreak2Time HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:01:00 +0530] "GET /eDhanvantari/GetDaysOtherThanClinicWorkingDays HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:01:11 +0530] "GET /eDhanvantari/Welcome?monthCount=-2 HTTP/1.1" 200 213795
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:01:11 +0530] "GET /eDhanvantari/images/Clinic_Logo_31.jpeg HTTP/1.1" 200 60119
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:01:11 +0530] "GET /eDhanvantari/GetClinicStartEndTime HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:01:11 +0530] "GET /eDhanvantari/GetClinicBreak1Time HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:01:11 +0530] "GET /eDhanvantari/GetClinicBreak2Time HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:01:11 +0530] "GET /eDhanvantari/GetDaysOtherThanClinicWorkingDays HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:01:13 +0530] "GET /eDhanvantari/Welcome?monthCount=-1 HTTP/1.1" 200 213795
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:01:13 +0530] "GET /eDhanvantari/images/Clinic_Logo_31.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:01:13 +0530] "GET /eDhanvantari/GetClinicStartEndTime HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:01:13 +0530] "GET /eDhanvantari/GetClinicBreak1Time HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:01:13 +0530] "GET /eDhanvantari/GetClinicBreak2Time HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:01:13 +0530] "GET /eDhanvantari/GetDaysOtherThanClinicWorkingDays HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:01:16 +0530] "POST /eDhanvantari/ChangeClinic HTTP/1.1" 200 225256
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:01:16 +0530] "GET /eDhanvantari/images/Clinic_Logo_31.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:01:16 +0530] "GET /eDhanvantari/GetClinicStartEndTime HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:01:16 +0530] "GET /eDhanvantari/GetClinicBreak1Time HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:01:16 +0530] "GET /eDhanvantari/GetClinicBreak2Time HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:01:16 +0530] "GET /eDhanvantari/GetDaysOtherThanClinicWorkingDays HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [13/Sep/2024:10:01:21 +0530] "GET /eDhanvantari/Welcome?monthCount=-2 HTTP/1.1" 200 262528
